LanguageID,EventNewsTitle,StartDate,EndDate,EventNewsOutline,EventNewsImgUrl,EventNewsBody_Web,EventNewsBody_App,EventNewsCategory,SortNo,IsEnable,SortAll
"2","【RG真人 全新風格】","01/01/1900 00:00:00","01/01/1900 00:00:00","2023 Royal Gclub 經典再造，賭場華麗蛻變！我們引領您進入一場奢華、刺激和無限可能的全新遊戲體驗。重新裝潢的賭場，不僅是一個場所，更是一場視覺和娛樂的盛宴。","promotion/en-us/imgs/event_games2.jpg","2023 Royal Gclub 經典再造，賭場華麗蛻變！我們引領您進入一場奢華、刺激和無限可能的全新遊戲體驗。重新裝潢的賭場，不僅是一個場所，更是一場視覺和娛樂的盛宴。","2023 Royal Gclub 經典再造，賭場華麗蛻變！我們引領您進入一場奢華、刺激和無限可能的全新遊戲體驗。重新裝潢的賭場，不僅是一個場所，更是一場視覺和娛樂的盛宴。","promoLive","2","1","2"
"7","【Giới thiệu đặc tính CS:GO】","01/01/1900 00:00:00","01/01/1900 00:00:00","Counter-Strike: Global Offensive, gọi tắt là CS:GO là một trò chơi bắn tỉa ngôi thứ nhất (FPS), nội dung là sự chiến đấu giữa 2 đội (Mỗi đội 5 người) - Một bên là phần tử khủng bố và một bên là nhóm chống khủng bố. Mục tiêu giành chiến thắng của mỗi một lượt chơi chính là bắn hạ 5 nhân vật trò chơi của đối phương được thao tác bởi người chơi, hoặc hoàn thành mục tiêu trong bản đồ trước; Đối với đội đảm nhiệm phần tử khủng bố mà nói, mục tiêu bản đồ chính là thiết đặt bom và đảm bảo rằng bom sẽ đ","promotion/en-us/imgs/event_games28.jpg","Counter-Strike: Global Offensive, gọi tắt là CS:GO là một trò chơi bắn tỉa ngôi thứ nhất (FPS), nội dung là sự chiến đấu giữa 2 đội (Mỗi đội 5 người) - Một bên là phần tử khủng bố và một bên là nhóm chống khủng bố. Mục tiêu giành chiến thắng của mỗi một lượt chơi chính là bắn hạ 5 nhân vật trò chơi của đối phương được thao tác bởi người chơi, hoặc hoàn thành mục tiêu trong bản đồ trước; Đối với đội đảm nhiệm phần tử khủng bố mà nói, mục tiêu bản đồ chính là thiết đặt bom và đảm bảo rằng bom sẽ được phát nổ sau khi thời gian đếm ngược kết thúc; Còn đối với đội đảm nhiệm nhóm chống khủng bố mà nói, mục tiêu bản đồ chính là ngăn chặn sự phát nổ của quả bom.","Counter-Strike: Global Offensive, gọi tắt là CS:GO là một trò chơi bắn tỉa ngôi thứ nhất (FPS), nội dung là sự chiến đấu giữa 2 đội (Mỗi đội 5 người) - Một bên là phần tử khủng bố và một bên là nhóm chống khủng bố. Mục tiêu giành chiến thắng của mỗi một lượt chơi chính là bắn hạ 5 nhân vật trò chơi của đối phương được thao tác bởi người chơi, hoặc hoàn thành mục tiêu trong bản đồ trước; Đối với đội đảm nhiệm phần tử khủng bố mà nói, mục tiêu bản đồ chính là thiết đặt bom và đảm bảo rằng bom sẽ được phát nổ sau khi thời gian đếm ngược kết thúc; Còn đối với đội đảm nhiệm nhóm chống khủng bố mà nói, mục tiêu bản đồ chính là ngăn chặn sự phát nổ của quả bom.","promoEsport","28","1","26"
"8","【RSG  စည်းစိမ်ဥစ္စာနတ် ၏အင်္ဂါရပ်များ】","01/01/1900 00:00:00","01/01/1900 00:00:00","RSG ၏ စည်းစိမ်ဥစ္စာနတ် သည် ဘက်စုံသုံးနိုင်သော စလော့ဂိမ်းတစ်ခုဖြစ်သည်။ ဟဲဗီးဝိတ်ဇာတ်ကောင်ဖြစ်တဲ့ စည်းစိမ်ဥစ္စာနတ်က ဦးဆောင်ပြီး လှည့်ဘီး မှာ အခမဲ့ဂိမ်း 20 ခုအထိ အပိုဆုကြေး 20 ဆအထိ အနိုင်ရဖို့ အခမဲ့ဂိမ်းကို သင်ဝင်ရောက်နိုင်မှာဖြစ်ပါတယ်။ ဒါတင်မကဘူး၊ အခမဲ့ဂိမ်းတွေကို ပျော်ရွှင်စွာခံစားနိုင်ဖို့ အခမဲ့ဂိမ်းတွေကို တိုက်ရိုက်ဝယ်ယူနိုင်ပါတယ်။ စည်းစိမ်ဥစ္စာနတ် သည် သင့်အား ပိုမိုအောင်မြင်သောစွမ်းရည်များနှင့် ကြွယ်ဝချမ်းသာမှုကို ယူဆောင်လာပါစေ!","promotion/en-us/imgs/event_games15.jpg","RSG ၏ စည်းစိမ်ဥစ္စာနတ် သည် ဘက်စုံသုံးနိုင်သော စလော့ဂိမ်းတစ်ခုဖြစ်သည်။ ဟဲဗီးဝိတ်ဇာတ်ကောင်ဖြစ်တဲ့ စည်းစိမ်ဥစ္စာနတ်က ဦးဆောင်ပြီး လှည့်ဘီး မှာ အခမဲ့ဂိမ်း 20 ခုအထိ အပိုဆုကြေး 20 ဆအထိ အနိုင်ရဖို့ အခမဲ့ဂိမ်းကို သင်ဝင်ရောက်နိုင်မှာဖြစ်ပါတယ်။ ဒါတင်မကဘူး၊ အခမဲ့ဂိမ်းတွေကို ပျော်ရွှင်စွာခံစားနိုင်ဖို့ အခမဲ့ဂိမ်းတွေကို တိုက်ရိုက်ဝယ်ယူနိုင်ပါတယ်။ စည်းစိမ်ဥစ္စာနတ် သည် သင့်အား ပိုမိုအောင်မြင်သောစွမ်းရည်များနှင့် ကြွယ်ဝချမ်းသာမှုကို ယူဆောင်လာပါစေ!","RSG ၏ စည်းစိမ်ဥစ္စာနတ် သည် ဘက်စုံသုံးနိုင်သော စလော့ဂိမ်းတစ်ခုဖြစ်သည်။ ဟဲဗီးဝိတ်ဇာတ်ကောင်ဖြစ်တဲ့ စည်းစိမ်ဥစ္စာနတ်က ဦးဆောင်ပြီး လှည့်ဘီး မှာ အခမဲ့ဂိမ်း 20 ခုအထိ အပိုဆုကြေး 20 ဆအထိ အနိုင်ရဖို့ အခမဲ့ဂိမ်းကို သင်ဝင်ရောက်နိုင်မှာဖြစ်ပါတယ်။ ဒါတင်မကဘူး၊ အခမဲ့ဂိမ်းတွေကို ပျော်ရွှင်စွာခံစားနိုင်ဖို့ အခမဲ့ဂိမ်းတွေကို တိုက်ရိုက်ဝယ်ယူနိုင်ပါတယ်။ စည်းစိမ်ဥစ္စာနတ် သည် သင့်အား ပိုမိုအောင်မြင်သောစွမ်းရည်များနှင့် ကြွယ်ဝချမ်းသာမှုကို ယူဆောင်လာပါစေ!","promoSlot","15","1","15"
"3","【RG Lottery Features Description】","01/01/1900 00:00:00","01/01/1900 00:00:00","RG Lottery adopts computer network system for lottery drawing, with the encryption technology to achieve security that can never be tampered with. RG Lottery also provides multiple gameplay styles including: positioning, non-positioning, combo, big/small(single/double), single/double digit(odd/even). Finally, with the use of non-traditional drawing speeds, you get the drawing results instantly, enabling you to become a big winner immediately!","promotion/en-us/imgs/event_games21.jpg","RG Lottery adopts computer network system for lottery drawing, with the encryption technology to achieve security that can never be tampered with. RG Lottery also provides multiple gameplay styles including: positioning, non-positioning, combo, big/small(single/double), single/double digit(odd/even). Finally, with the use of non-traditional drawing speeds, you get the drawing results instantly, enabling you to become a big winner immediately!","RG Lottery adopts computer network system for lottery drawing, with the encryption technology to achieve security that can never be tampered with. RG Lottery also provides multiple gameplay styles including: positioning, non-positioning, combo, big/small(single/double), single/double digit(odd/even). Finally, with the use of non-traditional drawing speeds, you get the drawing results instantly, enabling you to become a big winner immediately!","promoLottery","21","1","19"
"11","【Ciri-ciri Utama Bilik WM Live】","01/01/1900 00:00:00","01/01/1900 00:00:00"," Kasino WM merupakan pembekal permainan kasino live online yang menumpukan kepada penyediaan hiburan permainan kasino live berkualiti tinggi kepada pemain global. Mereka menawarkan pelbagai jenis permainan termasuk Baccarat, Dragon Tiger, Sic Bo, Roulette, Hilo, dan Disk Colour untuk memenuhi keperluan permainan pelbagai pemain.","promotion/en-us/imgs/event_games4.jpg"," Kasino WM merupakan pembekal permainan kasino live online yang menumpukan kepada penyediaan hiburan permainan kasino live berkualiti tinggi kepada pemain global. Mereka menawarkan pelbagai jenis permainan termasuk Baccarat, Dragon Tiger, Sic Bo, Roulette, Hilo, dan Disk Colour untuk memenuhi keperluan permainan pelbagai pemain."," Kasino WM merupakan pembekal permainan kasino live online yang menumpukan kepada penyediaan hiburan permainan kasino live berkualiti tinggi kepada pemain global. Mereka menawarkan pelbagai jenis permainan termasuk Baccarat, Dragon Tiger, Sic Bo, Roulette, Hilo, dan Disk Colour untuk memenuhi keperluan permainan pelbagai pemain.","promoLive","4","1","4"
"11","【RG Live Gaya Baharu】","01/01/1900 00:00:00","01/01/1900 00:00:00","2023 Royal Gclub, dihasilkan semula dengan gaya klasik yang lebih cemerlang! Kami membawa anda ke dalam pengalaman permainan yang baru, mewah, mencabar, dan penuh kemungkinan tanpa batas. Kasino yang telah diubahsuai bukan sahaja tempat, tetapi juga suatu perayaan visual dan hiburan.""","promotion/en-us/imgs/event_games2.jpg","2023 Royal Gclub, dihasilkan semula dengan gaya klasik yang lebih cemerlang! Kami membawa anda ke dalam pengalaman permainan yang baru, mewah, mencabar, dan penuh kemungkinan tanpa batas. Kasino yang telah diubahsuai bukan sahaja tempat, tetapi juga suatu perayaan visual dan hiburan.""","2023 Royal Gclub, dihasilkan semula dengan gaya klasik yang lebih cemerlang! Kami membawa anda ke dalam pengalaman permainan yang baru, mewah, mencabar, dan penuh kemungkinan tanpa batas. Kasino yang telah diubahsuai bukan sahaja tempat, tetapi juga suatu perayaan visual dan hiburan.""","promoLive","2","1","2"
"3","【RoyalSports Introducing】","01/01/1900 00:00:00","01/01/1900 00:00:00","To provide more variety of games, RoyalOnline,we are introduing the leading sports plattform. that will let you play sports games all the time whether it is a football match and Popular tournaments Multiple Choices with Endless Entertenment.","promotion/en-us/imgs/event_games22.jpg","To provide more variety of games, RoyalOnline,we are introduing the leading sports plattform. that will let you play sports games all the time whether it is a football match and Popular tournaments Multiple Choices with Endless Entertenment.","To provide more variety of games, RoyalOnline,we are introduing the leading sports plattform. that will let you play sports games all the time whether it is a football match and Popular tournaments Multiple Choices with Endless Entertenment.","promoSport","22","1","25"
"11","【RSG Dragon Reign, Ciri-ciri Terperinci】","01/01/1900 00:00:00","01/01/1900 00:00:00","Permainan Dragon Reign dari RSG Elektronik adalah permainan slot klasik dengan satu garis pembayaran, yang mudah dimainkan dan mudah menang. Semua simbol hanya terdiri daripada tiga warna naga, dan dengan empat kombinasi yang berbeza, anda boleh memenangi ganjaran. Dalam kombinasi yang berbeza, anda boleh memenangi sehingga 88 kali ganda daripada jumlah pertaruhan anda, seolah-olah menyaksikan tarian naga yang gemuruh dan membangkitkan semangat keberuntungan untuk anda.""","promotion/en-us/imgs/event_games16.jpg","Permainan Dragon Reign dari RSG Elektronik adalah permainan slot klasik dengan satu garis pembayaran, yang mudah dimainkan dan mudah menang. Semua simbol hanya terdiri daripada tiga warna naga, dan dengan empat kombinasi yang berbeza, anda boleh memenangi ganjaran. Dalam kombinasi yang berbeza, anda boleh memenangi sehingga 88 kali ganda daripada jumlah pertaruhan anda, seolah-olah menyaksikan tarian naga yang gemuruh dan membangkitkan semangat keberuntungan untuk anda.""","Permainan Dragon Reign dari RSG Elektronik adalah permainan slot klasik dengan satu garis pembayaran, yang mudah dimainkan dan mudah menang. Semua simbol hanya terdiri daripada tiga warna naga, dan dengan empat kombinasi yang berbeza, anda boleh memenangi ganjaran. Dalam kombinasi yang berbeza, anda boleh memenangi sehingga 88 kali ganda daripada jumlah pertaruhan anda, seolah-olah menyaksikan tarian naga yang gemuruh dan membangkitkan semangat keberuntungan untuk anda.""","promoSlot","16","1","16"
"4","【Royalกีฬาเปิดตัวแรง】","01/01/1900 00:00:00","01/01/1900 00:00:00","เพื่อมอบเกมที่หลากหลายยิ่งขึ้น RoyalOnline เราขอแนะนำแพลตฟอร์มกีฬาชั้นนำ ที่จะให้คุณเล่นเกมกีฬาได้ตลอดเวลา ไม่ว่าจะเป็นการแข่งขันฟุตบอลหรือ e-sports รายการแข่งขันที่ีได้รับความนิยม ตัวเลือกที่หลากหลายพร้อมความบันเทิงที่ไม่สิ้นสุด","promotion/en-us/imgs/event_games22.jpg","เพื่อมอบเกมที่หลากหลายยิ่งขึ้น RoyalOnline เราขอแนะนำแพลตฟอร์มกีฬาชั้นนำ ที่จะให้คุณเล่นเกมกีฬาได้ตลอดเวลา ไม่ว่าจะเป็นการแข่งขันฟุตบอลหรือ e-sports รายการแข่งขันที่ีได้รับความนิยม ตัวเลือกที่หลากหลายพร้อมความบันเทิงที่ไม่สิ้นสุด","เพื่อมอบเกมที่หลากหลายยิ่งขึ้น RoyalOnline เราขอแนะนำแพลตฟอร์มกีฬาชั้นนำ ที่จะให้คุณเล่นเกมกีฬาได้ตลอดเวลา ไม่ว่าจะเป็นการแข่งขันฟุตบอลหรือ e-sports รายการแข่งขันที่ีได้รับความนิยม ตัวเลือกที่หลากหลายพร้อมความบันเทิงที่ไม่สิ้นสุด","promoSport","22","1","25"
"6","【RG 라이브 ,전통을 깨고 블록체인 대열에 합류】","01/01/1900 00:00:00","01/01/1900 00:00:00","Royal Gclub 바카라, 용호, 골 슈팅 등 3종류의 게임은 블록체인 기술을 사용하여 모든 거래와 게임 기록을 블록체인에 저장하고 모든 참가자가 볼 수 있도록 하여 게임을 투명하게 할 뿐만 아니라 게임의 안전과 공정성을 보장합니다.","promotion/en-us/imgs/event_games3.jpg","Royal Gclub 바카라, 용호, 골 슈팅 등 3종류의 게임은 블록체인 기술을 사용하여 모든 거래와 게임 기록을 블록체인에 저장하고 모든 참가자가 볼 수 있도록 하여 게임을 투명하게 할 뿐만 아니라 게임의 안전과 공정성을 보장합니다.","Royal Gclub 바카라, 용호, 골 슈팅 등 3종류의 게임은 블록체인 기술을 사용하여 모든 거래와 게임 기록을 블록체인에 저장하고 모든 참가자가 볼 수 있도록 하여 게임을 투명하게 할 뿐만 아니라 게임의 안전과 공정성을 보장합니다.","promoLive","3","1","3"
