Key,說明,zh-tw,zh-cn,en-us,th-th,ko-kr,my-mm,id-id,vi-vn,ja-jp,ms-my,es-es,lo-lao
此欄為翻譯說明用,內容如果為空白，預設都是抓英文; 為了減少翻譯的檔案大小,,,,,,,,,,,,
,TH-1,11 Hi-Lo,11 Hi-Lo,11 Hi-Lo,11 ไฮโล,11 Hi-Lo,11ဟို-လို,11 tinggi-rendah,11 Cao-Thấp,11 高いー低い,11 Hi-Lo,11 Alto-Bajo,11 ໂຮໂລ
,TH-2,1低,1低,1 Lo,ต่ำ 1,1 낮음,1နိမ့်,1 rendah,1 Thấp,1 低い,1 rendah,1 Bajo,ຕ່ຳ 1
,TH-3,3低,3低,3 Lo,ต่ำ 3,3 낮음,3နိမ့်,3 rendah,3 Thấp,3 低い,3 rendah,3 Bajo,ຕ່ຳ 3
,TH-4,3白1紅,3白1红,3 White 1 Red,3ขาว 1แดง,,,,,,3 putih 1 merah,3 blancos 1 rojo,3ຂາວ 1ແດງ
,TH-5,3紅1白,3红1白,3 Red 1White,3แดง 1ขาว,,,,,,3 merah 1 putih,3 rojos 1 blanco,3ແດງ 1ຂາວ
,TH-6,4白,4白,4 white,ขาว4,,,,,,4 putih,4 blancos,ຂາວ4
,TH-7,4紅,4红,4 Red,4แดง,,,,,,4 merah,4 rojos,4ແດງ
,TH-8,4高,4高,4 Hi,สูง 4,4 높음,4ြမှင့်,4 tinggi,4 Cao,4 高い,4 tinggi,4 Alto,ສູງ 4
,TH-9,5低,5低,5 Lo,ต่ำ 5,5 낮음,5နိမ့်,5 rendah,5 Thấp,5 低い,5 rendah,5 Bajo,ຕ່ຳ 5
,TH-10,6低,6低,6 Lo,ต่ำ 6,6 낮음,6နိမ့်,6 rendah,6 Thấp,6 低い,6 rendah,6 Bajo,ຕ່ຳ 6
,TH-11,6高,6高,6 Hi,สูง 6,6 높음,6ြမှင့်,6 tinggi,6 Cao,6 高い,6 tinggi,6 Alto,ສູງ 6
ALL,TH-12,全部,全部,All,ทั้งหมด,전부,အားလံုး,Semua,Toàn bộ,全部,Semua,Todos,ຍອດລວມ
AboutUs_1,TH-13,設點營業,设点营业,set up for business,การตั้งค่าธุรกิจ,영업 거점,ဖွင့်လစ်သည့်ေနရာ,Membangun Bisnis,Thiết lâp doanh nghiệp,営業地の設営,Tentang DIAMOND CROWN CASINO,Inauguración de puntos de negocio,ການຕັ້ງຄ່າທຸລະກິດ
